,mouvement,auteurs
0,hagiographie,"['https://fr.wikipedia.org/wiki/Jean_Moschus', 'https://fr.wikipedia.org/wiki/Jacques_de_Voragine', 'https://fr.wikipedia.org/wiki/Paul_Gu%C3%A9rin_(religieux)', 'https://fr.wikipedia.org/wiki/Soci%C3%A9t%C3%A9_des_Bollandistes']"
1,troubadour,"['https://fr.wikipedia.org/wiki/Arnaut-Guilhem_de_Marsan', 'https://fr.wikipedia.org/wiki/Raimon_d%27Alayrac', 'https://fr.wikipedia.org/wiki/Na_Alamanda', 'https://fr.wikipedia.org/wiki/Chardon_de_Croisilles', 'https://fr.wikipedia.org/wiki/Margot_de_Maroie', 'https://fr.wikipedia.org/wiki/Roger-Bernard_III_de_Foix', 'https://fr.wikipedia.org/wiki/Raymond_VI_de_Toulouse', 'https://fr.wikipedia.org/wiki/Peire_Vidal', 'https://fr.wikipedia.org/wiki/Lombarda', 'https://fr.wikipedia.org/wiki/Guilhem_Figueira', 'https://fr.wikipedia.org/wiki/Aicart_del_Fossat', 'https://fr.wikipedia.org/wiki/Arnaud_d%27Alaman', 'https://fr.wikipedia.org/wiki/Aimeric_de_Peguilhan', 'https://fr.wikipedia.org/wiki/Rigaut_de_Barbezieux', 'https://fr.wikipedia.org/wiki/Rainaut_de_Pons', 'https://fr.wikipedia.org/wiki/Jaufr%C3%A9_Rudel']"
2,fabliau,"['https://fr.wikipedia.org/wiki/Jean_Bodel', 'https://fr.wikipedia.org/wiki/Hugues_III_d%27Oisy', 'https://fr.wikipedia.org/wiki/Gautier_de_Coincy']"
3,roman courtois,['https://fr.wikipedia.org/wiki/Chr%C3%A9tien_de_Troyes']
4,rhetoriqueurs,"['/wiki/Guillaume_de_Machaut', '/wiki/Famille_Robertet#Jean_(Jehan)_Robertet_(1405-1492)', '/wiki/Georges_Chastelain', '/wiki/Henri_Baude', '/wiki/Jean_Meschinot', '/wiki/Olivier_de_la_Marche', '/wiki/Jean_Molinet', '/wiki/Octavien_de_Saint-Gelais', '/wiki/Jean_Marot_(po%C3%A8te)', '/wiki/Guillaume_Dubois_(Cr%C3%A9tin)', '/wiki/Andr%C3%A9_de_La_Vigne', '/wiki/Jean_Lemaire_de_Belges', '/wiki/Pierre_Gringore', '/wiki/Jean_Bouchet']"
5,humanisme,"['https://fr.wikipedia.org/wiki/P%C3%A9trarque', 'https://fr.wikipedia.org/wiki/Laurent_Valla', 'https://fr.wikipedia.org/wiki/Ricordano_Malispini', 'https://fr.wikipedia.org/wiki/Dino_Compagni', 'https://fr.wikipedia.org/wiki/Filippo_Villani', 'https://fr.wikipedia.org/wiki/Martino_Canal', 'https://fr.wikipedia.org/wiki/Andrea_Dandolo', 'https://fr.wikipedia.org/wiki/Guido_Cavalcanti', 'https://fr.wikipedia.org/wiki/Guido_Guinizelli', 'https://fr.wikipedia.org/wiki/Cino_da_Pistoia', 'https://fr.wikipedia.org/wiki/Coluccio_Salutati', 'https://fr.wikipedia.org/wiki/Laurent_Valla', 'https://fr.wikipedia.org/wiki/Th%C3%A9odore_Gaza', 'https://fr.wikipedia.org/wiki/Jean_Argyropoulos', 'https://fr.wikipedia.org/wiki/Giovanni_Aurispa', 'https://fr.wikipedia.org/wiki/G%C3%A9miste_Pl%C3%A9thon', 'https://fr.wikipedia.org/wiki/Cosme_de_M%C3%A9dicis', 'https://fr.wikipedia.org/wiki/Marsile_Ficin', 'https://fr.wikipedia.org/wiki/Michel_de_Montaigne', 'https://fr.wikipedia.org/wiki/%C3%89rasme']"
6,pleiade,"['https://fr.wikipedia.org/wiki/Pierre_de_Ronsard', 'https://fr.wikipedia.org/wiki/Joachim_du_Bellay', 'https://fr.wikipedia.org/wiki/Jean-Antoine_de_Ba%C3%AFf', 'https://fr.wikipedia.org/wiki/%C3%89tienne_Jodelle', 'https://fr.wikipedia.org/wiki/R%C3%A9my_Belleau', 'https://fr.wikipedia.org/wiki/Jean_Dorat', 'https://fr.wikipedia.org/wiki/Jacques_Peletier', 'https://fr.wikipedia.org/wiki/Pontus_de_Tyard']"
7,picaresque,"['https://fr.wikipedia.org/wiki/Al-Hamadhani', 'https://fr.wikipedia.org/wiki/Mateo_Alem%C3%A1n', 'https://fr.wikipedia.org/wiki/Pechon_de_Ruby', 'https://fr.wikipedia.org/wiki/Vicente_Espinel', 'https://fr.wikipedia.org/wiki/Francisco_de_Quevedo', 'https://fr.wikipedia.org/wiki/Luis_V%C3%A9lez_de_Guevara', 'https://fr.wikipedia.org/wiki/Alonso_de_Castillo_Sol%C3%B3rzano', 'https://fr.wikipedia.org/wiki/Hans_Jakob_Christoffel_von_Grimmelshausen', 'https://fr.wikipedia.org/wiki/Alain-Ren%C3%A9_Lesage', 'https://fr.wikipedia.org/wiki/Daniel_Defoe', 'https://fr.wikipedia.org/wiki/Pierre_Carlet_de_Chamblain_de_Marivaux', 'https://fr.wikipedia.org/wiki/Henry_Fielding', 'https://fr.wikipedia.org/wiki/Jean_Potocki', 'https://fr.wikipedia.org/wiki/William_Makepeace_Thackeray', 'https://fr.wikipedia.org/wiki/Jack_Vance', 'https://fr.wikipedia.org/wiki/Jack_Kerouac', 'https://fr.wikipedia.org/wiki/Fr%C3%A9d%C3%A9rick_Tristan', 'https://fr.wikipedia.org/wiki/T._C._Boyle', 'https://fr.wikipedia.org/wiki/Arto_Paasilinna', 'https://fr.wikipedia.org/wiki/Mikho_Mossoulichvili', 'https://fr.wikipedia.org/wiki/Tobias_Smollett']"
8,baroque,"['https://fr.wikipedia.org/wiki/Agrippa_d%27Aubign%C3%A9', 'https://fr.wikipedia.org/wiki/Jean_de_Lannel', 'https://fr.wikipedia.org/wiki/Antoine-Andr%C3%A9_Mareschal', 'https://fr.wikipedia.org/wiki/Paul_Scarron', 'https://fr.wikipedia.org/wiki/Savinien_Cyrano_de_Bergerac']"
9,classique,"['https://fr.wikipedia.org/wiki/Moli%C3%A8re', 'https://fr.wikipedia.org/wiki/Jean_Racine', 'https://fr.wikipedia.org/wiki/Pierre_Corneille', 'https://fr.wikipedia.org/wiki/Jean_de_La_Fontaine', 'https://fr.wikipedia.org/wiki/Nicolas_Boileau']"
